"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"103";"734";"14.03";"****";""
"18";"22";" 81.82";"86.385";"phone";"1.481137e-20"
"10";"13";" 76.92";"43.391";"create";"4.482805e-11"
" 7";" 7";"100.00";"43.296";"service";"4.704474e-11"
" 9";"11";" 81.82";"42.535";"money";"6.941841e-11"
" 6";" 6";"100.00";"37.060";"amount";"1.145363e-09"
" 7";" 8";" 87.50";"36.188";"giant";"1.791814e-09"
" 9";"13";" 69.23";"33.425";"agency";"7.404793e-09"
" 5";" 5";"100.00";"30.841";"signal";"2.800352e-08"
" 5";" 5";"100.00";"30.841";"cell";"2.800352e-08"
" 7";" 9";" 77.78";"30.692";"job";"3.024726e-08"
" 6";" 7";" 85.71";"30.102";"send";"4.098334e-08"
" 4";" 4";"100.00";"24.639";"text";"6.913369e-07"
" 4";" 4";"100.00";"24.639";"iphone";"6.913369e-07"
" 4";" 4";"100.00";"24.639";"department";"6.913369e-07"
" 4";" 4";"100.00";"24.639";"product";"6.913369e-07"
" 4";" 4";"100.00";"24.639";"pain";"6.913369e-07"
" 5";" 6";" 83.33";"24.083";"ton";"9.225717e-07"
" 5";" 6";" 83.33";"24.083";"month";"9.225717e-07"
" 5";" 6";" 83.33";"24.083";"message";"9.225717e-07"
" 5";" 6";" 83.33";"24.083";"federal";"9.225717e-07"
" 5";" 6";" 83.33";"24.083";"android";"9.225717e-07"
" 8";"15";" 53.33";"19.606";"video";"9.518309e-06"
" 5";" 7";" 71.43";"19.300";"full";"1.117343e-05"
" 5";" 7";" 71.43";"19.300";"dollar";"1.117343e-05"
" 5";" 7";" 71.43";"19.300";"apple";"1.117343e-05"
" 3";" 3";"100.00";"18.454";"facetime";"1.740491e-05"
" 3";" 3";"100.00";"18.454";"budget";"1.740491e-05"
" 3";" 3";"100.00";"18.454";"bankrupt";"1.740491e-05"
" 4";" 5";" 80.00";"18.160";"law";"2.030748e-05"
" 4";" 5";" 80.00";"18.160";"boy";"2.030748e-05"
" 4";" 5";" 80.00";"18.160";"ai";"2.030748e-05"
" 9";"20";" 45.00";"16.344";"stuff";"5.282127e-05"
" 5";" 8";" 62.50";"15.750";"tesla";"7.229889e-05"
" 4";" 6";" 66.67";"13.892";"market";"1.935914e-04"
" 4";" 6";" 66.67";"13.892";"billion";"1.935914e-04"
" 4";" 6";" 66.67";"13.892";"bureaucracy";"1.935914e-04"
" 3";" 4";" 75.00";"12.392";"lawsuit";"4.311028e-04"
" 3";" 4";" 75.00";"12.392";"spend";"4.311028e-04"
" 3";" 4";" 75.00";"12.392";"limit";"4.311028e-04"
" 3";" 4";" 75.00";"12.392";"economic";"4.311028e-04"
" 4";" 7";" 57.14";"10.888";"compromise";"9.679403e-04"
" 5";"10";" 50.00";"10.872";"youtube";"9.764314e-04"
"11";"34";" 32.35";" 9.919";"government";"1.635872e-03"
" 3";" 5";" 60.00";" 8.818";"nice";"2.982999e-03"
" 3";" 5";" 60.00";" 8.818";"break";"2.982999e-03"
" 8";"23";" 34.78";" 8.474";"basically";"3.601662e-03"
" 2";" 3";" 66.67";" 6.918";"starlink";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"dominate";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"bet";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"wi";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"output";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"offer";"8.534972e-03"
" 2";" 3";" 66.67";" 6.918";"launch";"8.534972e-03"
" 3";" 6";" 50.00";" 6.487";"word";"1.086541e-02"
" 3";" 6";" 50.00";" 6.487";"simple";"1.086541e-02"
" 3";" 6";" 50.00";" 6.487";"bizarre";"1.086541e-02"
" 4";"10";" 40.00";" 5.667";"pay";"1.728912e-02"
" 4";"10";" 40.00";" 5.667";"movie";"1.728912e-02"
" 4";"10";" 40.00";" 5.667";"interest";"1.728912e-02"
" 3";" 7";" 42.86";" 4.868";"completely";"2.736691e-02"
" 3";" 7";" 42.86";" 4.868";"sit";"2.736691e-02"
" 2";" 4";" 50.00";" 4.313";"opinion";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"regulator";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"power";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"wow";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"intelligence";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"fake";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"couple";"3.782331e-02"
" 2";" 4";" 50.00";" 4.313";"action";"3.782331e-02"
" 5";"16";" 31.25";" 4.019";"pretty";"4.498314e-02"
" 6";"21";" 28.57";" 3.788";"call";"5.162280e-02"
" 4";"12";" 33.33";" 3.767";"hard";"5.226972e-02"
" 4";"12";" 33.33";" 3.767";"country";"5.226972e-02"
" 4";"12";" 33.33";" 3.767";"level";"5.226972e-02"
" 3";" 8";" 37.50";" 3.692";"term";"5.466298e-02"
" 3";" 8";" 37.50";" 3.692";"massive";"5.466298e-02"
" 9";"38";" 23.68";" 3.094";"good";"7.855857e-02"
" 3";" 9";" 33.33";" 2.814";"friend";"9.346578e-02"
" 2";" 5";" 40.00";" 2.814";"worth";"9.344751e-02"
" 2";" 5";" 40.00";" 2.814";"version";"9.344751e-02"
" 2";" 5";" 40.00";" 2.814";"impossible";"9.344751e-02"
" 2";" 5";" 40.00";" 2.814";"hand";"9.344751e-02"
" 2";" 5";" 40.00";" 2.814";"amaze";"9.344751e-02"
" 5";"19";" 26.32";" 2.439";"work";"1.183208e-01"
" 5";"20";" 25.00";" 2.050";"long";"1.522066e-01"
"*****";"*";"*";"*";"*";"*"
" 9";" 27";"33.33";"8.656";"doing";"0.003260149"
" 4";"  9";"44.44";"6.986";"use";"0.008216432"
" 2";"  3";"66.67";"6.918";"allows";"0.008534972"
" 3";"  6";"50.00";"6.487";"enough";"0.010865406"
"21";" 94";"22.34";"6.168";"make";"0.013009240"
" 9";" 32";"28.12";"5.508";"has";"0.018929071"
"11";" 42";"26.19";"5.458";"more";"0.019473365"
"11";" 42";"26.19";"5.458";"something";"0.019473365"
" 8";" 28";"28.57";"5.101";"their";"0.023916490"
" 9";" 33";"27.27";"5.021";"other";"0.025040831"
" 3";"  7";"42.86";"4.868";"tried";"0.027366910"
" 3";"  7";"42.86";"4.868";"53";"0.027366910"
" 3";"  7";"42.86";"4.868";"might";"0.027366910"
" 3";"  7";"42.86";"4.868";"33";"0.027366910"
" 3";"  7";"42.86";"4.868";"i_ll";"0.027366910"
"15";" 65";"23.08";"4.836";"2";"0.027877717"
" 4";" 11";"36.36";"4.616";"23";"0.031670282"
" 8";" 29";"27.59";"4.598";"than";"0.032016190"
" 2";"  4";"50.00";"4.313";"it_ll";"0.037823309"
"10";" 40";"25.00";"4.218";"even";"0.039993803"
" 7";" 25";"28.00";"4.185";"many";"0.040772784"
" 3";"  8";"37.50";"3.692";"ask";"0.054662984"
"13";" 59";"22.03";"3.405";"an";"0.065010527"
" 6";" 22";"27.27";"3.296";"most";"0.069463250"
"19";" 95";"20.00";"3.221";"do";"0.072696004"
"10";" 43";"23.26";"3.221";"these";"0.072706893"
" 8";" 33";"24.24";"2.986";"them";"0.084003107"
" 3";"  9";"33.33";"2.814";"19";"0.093465779"
" 2";"  5";"40.00";"2.814";"you_ll";"0.093447509"
" 2";"  5";"40.00";"2.814";"sent";"0.093447509"
"19";" 98";"19.39";"2.689";"going";"0.101071467"
"14";" 68";"20.59";"2.670";"then";"0.102271167"
"21";"111";"18.92";"2.588";"that_s";"0.107660611"
" 3";" 10";"30.00";"2.143";"keep";"0.143256595"
" 8";" 36";"22.22";"2.105";"we_re";"0.146849065"
"60";"379";"15.83";"2.101";"to";"0.147204297"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"308";"734";"41.96";"****";""
" 15";" 16";" 93.75";"18.013";"car";"2.194106e-05"
" 16";" 18";" 88.89";"16.685";"problem";"4.412194e-05"
" 10";" 10";"100.00";"14.022";"issue";"1.806643e-04"
" 14";" 16";" 87.50";"13.928";"company";"1.899952e-04"
" 24";" 33";" 72.73";"13.429";"big";"2.477404e-04"
" 97";"181";" 53.59";"13.341";"um";"2.596632e-04"
"  9";"  9";"100.00";"12.603";"deal";"3.852148e-04"
" 11";" 12";" 91.67";"12.376";"essentially";"4.349641e-04"
"  7";"  7";"100.00";" 9.775";"difference";"1.768968e-03"
"  9";" 10";" 90.00";" 9.606";"robot";"1.938978e-03"
"  9";" 10";" 90.00";" 9.606";"walk";"1.938978e-03"
"  9";" 10";" 90.00";" 9.606";"buy";"1.938978e-03"
"  9";" 10";" 90.00";" 9.606";"situation";"1.938978e-03"
" 12";" 15";" 80.00";" 9.098";"weird";"2.559390e-03"
" 12";" 15";" 80.00";" 9.098";"life";"2.559390e-03"
" 20";" 29";" 68.97";" 9.040";"bad";"2.640944e-03"
" 10";" 12";" 83.33";" 8.574";"super";"3.410321e-03"
"  6";"  6";"100.00";" 8.367";"sleep";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"app";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"border";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"generally";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"factory";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"choose";"3.820754e-03"
"  6";"  6";"100.00";" 8.367";"biological";"3.820754e-03"
"  8";"  9";" 88.89";" 8.239";"meth";"4.099795e-03"
"  8";"  9";" 88.89";" 8.239";"build";"4.099795e-03"
" 11";" 14";" 78.57";" 7.854";"america";"5.069729e-03"
" 11";" 14";" 78.57";" 7.854";"history";"5.069729e-03"
" 78";"150";" 52.00";" 7.800";"uh";"5.223648e-03"
" 18";" 27";" 66.67";" 7.025";"talk";"8.038742e-03"
"  5";"  5";"100.00";" 6.963";"humor";"8.321163e-03"
"  5";"  5";"100.00";" 6.963";"american";"8.321163e-03"
"  5";"  5";"100.00";" 6.963";"eat";"8.321163e-03"
"  5";"  5";"100.00";" 6.963";"human";"8.321163e-03"
"  5";"  5";"100.00";" 6.963";"holy";"8.321163e-03"
"  7";"  8";" 87.50";" 6.887";"high";"8.682343e-03"
"  7";"  8";" 87.50";" 6.887";"fast";"8.682343e-03"
"  7";"  8";" 87.50";" 6.887";"part";"8.682343e-03"
"  7";"  8";" 87.50";" 6.887";"matter";"8.682343e-03"
"  7";"  8";" 87.50";" 6.887";"kid";"8.682343e-03"
" 20";" 31";" 64.52";" 6.761";"happen";"9.318691e-03"
" 20";" 31";" 64.52";" 6.761";"man";"9.318691e-03"
"113";"234";" 48.29";" 5.649";"yeah";"1.746048e-02"
" 13";" 19";" 68.42";" 5.607";"put";"1.788909e-02"
"  4";"  4";"100.00";" 5.563";"transgender";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"nazis";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"golf";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"compete";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"row";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"pharmaceutical";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"electric";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"quote";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"mom";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"large";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"hilarious";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"computer";"1.834623e-02"
"  4";"  4";"100.00";" 5.563";"catch";"1.834623e-02"
"  6";"  7";" 85.71";" 5.555";"wake";"1.842638e-02"
" 10";" 14";" 71.43";" 5.088";"change";"2.408548e-02"
"  7";"  9";" 77.78";" 4.799";"hear";"2.847006e-02"
"  7";"  9";" 77.78";" 4.799";"day";"2.847006e-02"
"  7";"  9";" 77.78";" 4.799";"imagine";"2.847006e-02"
"  7";"  9";" 77.78";" 4.799";"guess";"2.847006e-02"
"  7";"  9";" 77.78";" 4.799";"tariff";"2.847006e-02"
" 26";" 46";" 56.52";" 4.272";"crazy";"3.874934e-02"
"  5";"  6";" 83.33";" 4.252";"race";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"york";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"addict";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"street";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"pull";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"global";"3.921394e-02"
"  5";"  6";" 83.33";" 4.252";"agree";"3.921394e-02"
"  3";"  3";"100.00";" 4.166";"technology";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"cure";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"japanese";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"grade";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"steer";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"north";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"music";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"clean";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"city";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"warm";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"threat";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"supply";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"stand";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"south";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"ship";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"prove";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"objectively";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"identify";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"financial";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"farm";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"decision";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"chain";"4.123382e-02"
"  3";"  3";"100.00";" 4.166";"basic";"4.123382e-02"
"  9";" 13";" 69.23";" 4.041";"illegal";"4.441170e-02"
" 10";" 15";" 66.67";" 3.838";"woman";"5.011687e-02"
" 12";" 19";" 63.16";" 3.598";"work";"5.784227e-02"
"  7";" 10";" 70.00";" 3.273";"drug";"7.044751e-02"
"  7";" 10";" 70.00";" 3.273";"system";"7.044751e-02"
"  4";"  5";" 80.00";" 2.991";"sell";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"difficult";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"diddy";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"beat";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"today";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"question";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"moment";"8.373107e-02"
"  4";"  5";" 80.00";" 2.991";"fun";"8.373107e-02"
"  9";" 14";" 64.29";" 2.921";"feel";"8.745900e-02"
" 91";"193";" 47.15";" 2.894";"person";"8.888886e-02"
" 10";" 16";" 62.50";" 2.833";"great";"9.234595e-02"
" 10";" 16";" 62.50";" 2.833";"pretty";"9.234595e-02"
"  5";"  7";" 71.43";" 2.520";"regulation";"1.124294e-01"
"  5";"  7";" 71.43";" 2.520";"sudden";"1.124294e-01"
"  5";"  7";" 71.43";" 2.520";"rule";"1.124294e-01"
"  5";"  7";" 71.43";" 2.520";"funny";"1.124294e-01"
"  5";"  7";" 71.43";" 2.520";"fire";"1.124294e-01"
"  5";"  7";" 71.43";" 2.520";"business";"1.124294e-01"
" 16";" 29";" 55.17";" 2.164";"kind";"1.413122e-01"
"  7";" 11";" 63.64";" 2.154";"numb";"1.421829e-01"
"  8";" 13";" 61.54";" 2.083";"start";"1.489839e-01"
" 11";" 19";" 57.89";" 2.033";"sense";"1.539038e-01"
"*****";"*";"*";"*";"*";"*"
" 18";" 24";" 75.00";"11.120";"will";"0.0008539314"
"139";"284";" 48.94";" 9.272";"i";"0.0023269377"
" 26";" 42";" 61.90";" 7.275";"lot";"0.0069911061"
" 40";" 71";" 56.34";" 6.671";"or";"0.0098020827"
" 37";" 65";" 56.92";" 6.555";"2";"0.0104610547"
" 22";" 37";" 59.46";" 4.898";"really";"0.0268816156"
"  7";"  9";" 77.78";" 4.799";"48";"0.0284700588"
" 70";"140";" 50.00";" 4.590";"think";"0.0321652269"
"  5";"  6";" 83.33";" 4.252";"own";"0.0392139431"
"  5";"  6";" 83.33";" 4.252";"through";"0.0392139431"
"  5";"  6";" 83.33";" 4.252";"thank";"0.0392139431"
" 16";" 26";" 61.54";" 4.242";"very";"0.0394419901"
"  3";"  3";"100.00";" 4.166";"unless";"0.0412338235"
"  3";"  3";"100.00";" 4.166";"aren_t";"0.0412338235"
"  3";"  3";"100.00";" 4.166";"throughout";"0.0412338235"
"  3";"  3";"100.00";" 4.166";"become";"0.0412338235"
"  3";"  3";"100.00";" 4.166";"across";"0.0412338235"
"  9";" 13";" 69.23";" 4.041";"everyone";"0.0444116967"
" 11";" 17";" 64.71";" 3.697";"does";"0.0545262498"
" 56";"112";" 50.00";" 3.506";"mean";"0.0611303845"
" 14";" 23";" 60.87";" 3.485";"still";"0.0619089611"
" 20";" 35";" 57.14";" 3.478";"okay";"0.0621928217"
" 17";" 29";" 58.62";" 3.441";"than";"0.0636150560"
" 24";" 44";" 54.55";" 3.043";"your";"0.0810721415"
"  4";"  5";" 80.00";" 2.991";"saw";"0.0837310709"
"  4";"  5";" 80.00";" 2.991";"eight";"0.0837310709"
"  4";"  5";" 80.00";" 2.991";"44";"0.0837310709"
"  9";" 14";" 64.29";" 2.921";"new";"0.0874589992"
" 10";" 16";" 62.50";" 2.833";"we_ve";"0.0923459517"
" 17";" 30";" 56.67";" 2.777";"my";"0.0956196402"
"109";"235";" 46.38";" 2.774";"it_s";"0.0957856532"
" 12";" 20";" 60.00";" 2.747";"better";"0.0974429380"
" 70";"146";" 47.95";" 2.679";"be";"0.1016717312"
